# det_alpha	det_beta	CI Coeffs
[1, 5]	[0, 6]	0.000000001767
[1, 5]	[1, 6]	-0.000000000877
[1, 5]	[2, 6]	0.000000000000
[1, 5]	[3, 6]	0.000000000000
[1, 5]	[4, 6]	0.000000000000
[1, 5]	[5, 6]	0.000000000000
[1, 5]	[0, 7]	0.000000000383
[1, 5]	[1, 7]	-0.000000000240
[1, 5]	[2, 7]	0.000000000000
[1, 5]	[3, 7]	0.000000000000
[1, 5]	[4, 7]	0.000000000000
[1, 5]	[5, 7]	0.000000000000
[1, 5]	[6, 7]	0.000000000000
[1, 5]	[0, 8]	0.000000000000
[1, 5]	[1, 8]	0.000000000000
[1, 5]	[2, 8]	0.000034093168
[1, 5]	[3, 8]	-0.000031380654
[1, 5]	[4, 8]	-0.000020937509
[1, 5]	[5, 8]	-0.000059531442
[1, 5]	[6, 8]	0.000000000531
[1, 5]	[7, 8]	0.000000000152
[2, 5]	[0, 1]	-0.000690797260
[2, 5]	[0, 2]	0.000000000000
[2, 5]	[1, 2]	0.000000000000
[2, 5]	[0, 3]	0.000000000000
[2, 5]	[1, 3]	0.000000000000
[2, 5]	[2, 3]	0.000092450105
[2, 5]	[0, 4]	0.000000000000
[2, 5]	[1, 4]	0.000000000000
[2, 5]	[2, 4]	0.000061686594
[2, 5]	[3, 4]	0.000000000092
[2, 5]	[0, 5]	0.000000000000
[2, 5]	[1, 5]	0.000000000000
[2, 5]	[2, 5]	-0.000326304985
[2, 5]	[3, 5]	-0.000036385535
[2, 5]	[4, 5]	-0.000024277376
[2, 5]	[0, 6]	0.000000000000
[2, 5]	[1, 6]	0.000000000000
[2, 5]	[2, 6]	0.000020279698
[2, 5]	[3, 6]	-0.000018698889
[2, 5]	[4, 6]	-0.000012892377
[2, 5]	[5, 6]	0.000047100588
[2, 5]	[0, 7]	0.000000000000
[2, 5]	[1, 7]	0.000000000000
[2, 5]	[2, 7]	0.000038760061
[2, 5]	[3, 7]	-0.000036205939
[2, 5]	[4, 7]	-0.000023940417
[2, 5]	[5, 7]	0.000090022118
[2, 5]	[6, 7]	0.000000000039
[2, 5]	[0, 8]	0.000179715438
[2, 5]	[1, 8]	-0.000021136226
[2, 5]	[2, 8]	0.000000000000
[2, 5]	[3, 8]	0.000000000000
[2, 5]	[4, 8]	0.000000000000
